label_id	distances	side	side2	absolute
25030	3.42539204756185	TRUE	FALSE	3.42539204756185
25031	5.47352705698543	TRUE	FALSE	5.47352705698543
25032	4.33846242924963	TRUE	FALSE	4.33846242924963
25033	10.5698304923015	TRUE	FALSE	10.5698304923015
25034	-1.57265978466242	FALSE	TRUE	1.57265978466242
25035	-5.91111079169962	FALSE	TRUE	5.91111079169962
25036	-11.2827081746674	FALSE	TRUE	11.2827081746674
25037	-5.15189281408552	FALSE	TRUE	5.15189281408552
25038	24.8619524626787	TRUE	FALSE	24.8619524626787
25039	12.7695001426303	TRUE	FALSE	12.7695001426303
25040	11.8085411179897	TRUE	FALSE	11.8085411179897
25041	10.9651559557996	TRUE	FALSE	10.9651559557996
25042	9.55799596508424	TRUE	FALSE	9.55799596508424
25043	6.68488797842771	TRUE	FALSE	6.68488797842771
25044	5.52718275285597	TRUE	FALSE	5.52718275285597
25045	52.2060048299	TRUE	FALSE	52.2060048299
25046	51.1164163609566	TRUE	FALSE	51.1164163609566
25047	52.7315072926554	TRUE	FALSE	52.7315072926554
25048	51.347368078613	TRUE	FALSE	51.347368078613
25049	48.927539593807	TRUE	FALSE	48.927539593807
25050	48.1068122736065	TRUE	FALSE	48.1068122736065
25051	47.5510143059973	TRUE	FALSE	47.5510143059973
25052	39.5478318138328	TRUE	FALSE	39.5478318138328
25053	41.9976684774148	TRUE	FALSE	41.9976684774148
25054	33.0807216619568	TRUE	FALSE	33.0807216619568
25055	31.6900549491348	TRUE	FALSE	31.6900549491348
25056	46.5701176194451	TRUE	FALSE	46.5701176194451
25057	45.2914550273951	TRUE	FALSE	45.2914550273951
25058	-39.4690410490605	FALSE	TRUE	39.4690410490605
25059	-34.8733606848254	FALSE	TRUE	34.8733606848254
25060	-29.6078416696417	FALSE	TRUE	29.6078416696417
25061	-30.0559390824642	FALSE	TRUE	30.0559390824642
25062	-31.3246924877282	FALSE	TRUE	31.3246924877282
25063	-38.3302843164054	FALSE	TRUE	38.3302843164054
25064	-36.6295816026323	FALSE	TRUE	36.6295816026323
25065	-39.1218144112286	FALSE	TRUE	39.1218144112286
25066	-43.3920687378803	FALSE	TRUE	43.3920687378803
25067	-44.2941121941671	FALSE	TRUE	44.2941121941671
25068	-53.1431362057899	FALSE	TRUE	53.1431362057899
25069	-50.6209732830608	FALSE	TRUE	50.6209732830608
25070	-4.0227567455494	FALSE	TRUE	4.0227567455494
25071	-21.3678502604516	FALSE	TRUE	21.3678502604516
25072	-36.416113798956	FALSE	TRUE	36.416113798956
25073	-30.7445957608125	FALSE	TRUE	30.7445957608125
25074	-31.8570150551852	FALSE	TRUE	31.8570150551852
25075	-29.388219665568	FALSE	TRUE	29.388219665568
25076	-30.1492871664768	FALSE	TRUE	30.1492871664768
25077	-27.7735332825922	FALSE	TRUE	27.7735332825922
