label_id	type	type_color
11767.0	foregut_muscles	255-255-187-120
11771.0	foregut_muscles	255-255-187-120
11866.0	foregut_muscles	255-255-187-120
11880.0	axocord_muscles	255-214-39-40
11882.0	foregut_muscles	255-255-187-120
11884.0	foregut_muscles	255-255-187-120
11888.0	foregut_muscles	255-255-187-120
11889.0	axocord_muscles	255-214-39-40
11891.0	foregut_muscles	255-255-187-120
11893.0	foregut_muscles	255-255-187-120
11912.0	foregut_muscles	255-255-187-120
11914.0	foregut_neurons	255-23-190-207
11915.0	forgut_epithelium	255-188-189-34
11916.0	forgut_epithelium	255-188-189-34
11918.0	foregut_muscles	255-255-187-120
11929.0	foregut_muscles	255-255-187-120
11932.0	forgut_epithelium	255-188-189-34
11937.0	foregut_neurons	255-23-190-207
11938.0	foregut_neurons	255-23-190-207
11940.0	foregut_neurons	255-23-190-207
11942.0	foregut_muscles	255-255-187-120
11951.0	forgut_epithelium	255-188-189-34
11952.0	forgut_epithelium	255-188-189-34
11953.0	foregut_neurons	255-23-190-207
11955.0	foregut_neurons	255-23-190-207
11957.0	forgut_epithelium	255-188-189-34
11958.0	foregut_neurons	255-23-190-207
11960.0	forgut_epithelium	255-188-189-34
11962.0	foregut_muscles	255-255-187-120
11971.0	foregut_muscles	255-255-187-120
11973.0	foregut_neurons	255-23-190-207
11974.0	foregut_neurons	255-23-190-207
11975.0	foregut_neurons	255-23-190-207
11977.0	foregut_muscles	255-255-187-120
11978.0	foregut_muscles	255-255-187-120
11989.0	axocord_muscles	255-214-39-40
11991.0	foregut_muscles	255-255-187-120
12003.0	foregut_muscles	255-255-187-120
12086.0	foregut_muscles	255-255-187-120
12087.0	foregut_muscles	255-255-187-120
12090.0	foregut_muscles	255-255-187-120
12095.0	foregut_muscles	255-255-187-120
12098.0	foregut_neurons	255-23-190-207
12100.0	foregut_muscles	255-255-187-120
12101.0	foregut_muscles	255-255-187-120
12112.0	foregut_neurons	255-23-190-207
12113.0	foregut_neurons	255-23-190-207
12114.0	foregut_neurons	255-23-190-207
12115.0	foregut_neurons	255-23-190-207
12116.0	foregut_neurons	255-23-190-207
12120.0	foregut_neurons	255-23-190-207
12122.0	foregut_neurons	255-23-190-207
12125.0	forgut_epithelium	255-188-189-34
12138.0	foregut_muscles	255-255-187-120
12139.0	foregut_neurons	255-23-190-207
12143.0	foregut_neurons	255-23-190-207
12145.0	foregut_neurons	255-23-190-207
12146.0	foregut_neurons	255-23-190-207
12148.0	foregut_neurons	255-23-190-207
12151.0	foregut_neurons	255-23-190-207
12152.0	foregut_neurons	255-23-190-207
12166.0	foregut_neurons	255-23-190-207
12167.0	foregut_neurons	255-23-190-207
12168.0	forgut_epithelium	255-188-189-34
12169.0	forgut_epithelium	255-188-189-34
12174.0	foregut_muscles	255-255-187-120
12182.0	foregut_muscles	255-255-187-120
12184.0	foregut_neurons	255-23-190-207
12196.0	foregut_muscles	255-255-187-120
12197.0	foregut_muscles	255-255-187-120
12289.0	foregut_muscles	255-255-187-120
12290.0	foregut_muscles	255-255-187-120
12294.0	foregut_neurons	255-23-190-207
12296.0	foregut_neurons	255-23-190-207
12298.0	foregut_neurons	255-23-190-207
12301.0	foregut_muscles	255-255-187-120
12309.0	foregut_muscles	255-255-187-120
12312.0	foregut_neurons	255-23-190-207
12314.0	foregut_neurons	255-23-190-207
12315.0	foregut_neurons	255-23-190-207
12326.0	foregut_muscles	255-255-187-120
12327.0	forgut_epithelium	255-188-189-34
12329.0	foregut_neurons	255-23-190-207
12332.0	foregut_neurons	255-23-190-207
12334.0	foregut_neurons	255-23-190-207
12336.0	forgut_epithelium	255-188-189-34
12337.0	foregut_neurons	255-23-190-207
12339.0	forgut_epithelium	255-188-189-34
12341.0	foregut_neurons	255-23-190-207
12342.0	foregut_neurons	255-23-190-207
12344.0	foregut_neurons	255-23-190-207
12349.0	foregut_neurons	255-23-190-207
12363.0	foregut_neurons	255-23-190-207
12364.0	foregut_neurons	255-23-190-207
12366.0	forgut_epithelium	255-188-189-34
12367.0	forgut_epithelium	255-188-189-34
