label_id	morphocontext_clust_color	gene_clust_color	manually_segm_color
971.0	255-152-223-138	255-158-218-229	0-0-0-0
972.0	255-152-223-138	255-158-218-229	0-0-0-0
976.0	255-152-223-138	255-152-223-138	255-44-160-44
977.0	255-152-223-138	255-152-223-138	0-0-0-0
984.0	0-0-0-0	0-0-0-0	255-127-127-127
992.0	255-44-160-44	255-219-219-141	255-188-189-34
993.0	255-44-160-44	255-219-219-141	255-188-189-34
995.0	255-44-160-44	255-140-86-75	255-188-189-34
996.0	255-44-160-44	255-140-86-75	255-188-189-34
1001.0	0-0-0-0	255-44-160-44	0-0-0-0
1006.0	255-44-160-44	255-44-160-44	255-44-160-44
1008.0	255-44-160-44	255-44-160-44	255-44-160-44
1011.0	255-152-223-138	0-0-0-0	0-0-0-0
1012.0	0-0-0-0	0-0-0-0	0-0-0-0
1023.0	255-44-160-44	255-140-86-75	255-188-189-34
1024.0	255-44-160-44	255-158-218-229	255-188-189-34
1026.0	0-0-0-0	255-158-218-229	0-0-0-0
1028.0	255-152-223-138	255-44-160-44	255-44-160-44
1040.0	255-219-219-141	255-219-219-141	255-219-219-141
1046.0	255-219-219-141	255-219-219-141	255-219-219-141
1050.0	255-219-219-141	255-219-219-141	255-219-219-141
1051.0	0-0-0-0	255-158-218-229	0-0-0-0
1052.0	255-44-160-44	255-158-218-229	255-219-219-141
1055.0	255-44-160-44	255-140-86-75	255-158-218-229
1056.0	255-44-160-44	255-140-86-75	255-188-189-34
1058.0	255-44-160-44	255-140-86-75	255-188-189-34
1059.0	255-44-160-44	255-219-219-141	255-219-219-141
1060.0	255-44-160-44	255-158-218-229	255-219-219-141
1061.0	255-152-223-138	255-158-218-229	255-152-223-138
1064.0	255-152-223-138	255-158-218-229	0-0-0-0
1067.0	255-44-160-44	255-140-86-75	255-188-189-34
1071.0	255-44-160-44	255-140-86-75	0-0-0-0
1076.0	0-0-0-0	255-44-160-44	0-0-0-0
1077.0	0-0-0-0	255-44-160-44	0-0-0-0
1078.0	255-44-160-44	255-152-223-138	255-44-160-44
1082.0	255-152-223-138	255-152-223-138	255-152-223-138
1084.0	255-152-223-138	255-44-160-44	0-0-0-0
1086.0	255-44-160-44	255-152-223-138	255-44-160-44
1088.0	255-44-160-44	255-44-160-44	255-44-160-44
1089.0	255-44-160-44	255-152-223-138	255-44-160-44
1090.0	0-0-0-0	255-44-160-44	255-152-223-138
1092.0	255-152-223-138	255-158-218-229	255-152-223-138
1093.0	255-152-223-138	255-158-218-229	0-0-0-0
1094.0	255-152-223-138	255-44-160-44	255-44-160-44
1095.0	255-152-223-138	255-44-160-44	255-44-160-44
1097.0	255-152-223-138	255-44-160-44	255-44-160-44
1098.0	255-44-160-44	255-44-160-44	255-44-160-44
1099.0	255-44-160-44	255-44-160-44	255-44-160-44
1102.0	255-44-160-44	255-44-160-44	255-44-160-44
1103.0	255-44-160-44	255-44-160-44	255-44-160-44
1104.0	255-44-160-44	255-44-160-44	255-44-160-44
1106.0	255-44-160-44	255-44-160-44	255-44-160-44
1108.0	255-44-160-44	255-44-160-44	255-44-160-44
1110.0	255-152-223-138	255-140-86-75	255-158-218-229
1111.0	255-152-223-138	255-158-218-229	255-158-218-229
1112.0	255-44-160-44	255-140-86-75	255-158-218-229
1113.0	255-152-223-138	255-140-86-75	255-158-218-229
1114.0	255-152-223-138	255-140-86-75	255-158-218-229
1117.0	255-44-160-44	255-44-160-44	255-44-160-44
1118.0	255-44-160-44	255-44-160-44	255-44-160-44
1120.0	255-44-160-44	255-219-219-141	255-44-160-44
1121.0	255-44-160-44	255-219-219-141	255-188-189-34
1122.0	255-44-160-44	255-158-218-229	255-188-189-34
1124.0	255-44-160-44	255-158-218-229	255-188-189-34
1125.0	255-44-160-44	255-140-86-75	255-188-189-34
1127.0	255-152-223-138	255-152-223-138	255-44-160-44
1129.0	255-152-223-138	255-152-223-138	255-152-223-138
1130.0	255-152-223-138	255-152-223-138	0-0-0-0
1132.0	255-152-223-138	255-152-223-138	0-0-0-0
1139.0	255-44-160-44	255-219-219-141	255-188-189-34
1142.0	0-0-0-0	255-44-160-44	0-0-0-0
1143.0	255-44-160-44	255-152-223-138	255-44-160-44
1146.0	255-44-160-44	255-44-160-44	255-44-160-44
1148.0	255-44-160-44	255-44-160-44	255-44-160-44
1150.0	255-44-160-44	255-44-160-44	255-44-160-44
1153.0	255-219-219-141	255-219-219-141	255-219-219-141
1154.0	255-219-219-141	255-219-219-141	255-219-219-141
1156.0	255-219-219-141	255-219-219-141	255-219-219-141
1158.0	255-219-219-141	255-219-219-141	255-219-219-141
1159.0	255-44-160-44	255-140-86-75	255-188-189-34
1162.0	255-152-223-138	255-44-160-44	255-152-223-138
1165.0	255-44-160-44	255-44-160-44	255-44-160-44
1168.0	255-44-160-44	255-44-160-44	255-44-160-44
1169.0	255-44-160-44	255-44-160-44	255-44-160-44
1170.0	255-44-160-44	255-44-160-44	255-44-160-44
1171.0	255-44-160-44	255-44-160-44	255-44-160-44
1172.0	255-44-160-44	255-44-160-44	255-44-160-44
1173.0	255-219-219-141	255-219-219-141	255-219-219-141
1174.0	255-44-160-44	255-219-219-141	0-0-0-0
1176.0	255-219-219-141	255-219-219-141	255-219-219-141
1177.0	255-219-219-141	255-219-219-141	255-219-219-141
1179.0	255-219-219-141	255-219-219-141	255-219-219-141
1180.0	255-219-219-141	255-219-219-141	255-219-219-141
1181.0	255-219-219-141	255-219-219-141	255-219-219-141
1186.0	255-44-160-44	255-158-218-229	255-219-219-141
1190.0	255-44-160-44	255-140-86-75	255-158-218-229
1191.0	255-44-160-44	255-140-86-75	255-158-218-229
1194.0	255-44-160-44	255-140-86-75	255-188-189-34
1196.0	255-219-219-141	255-219-219-141	255-219-219-141
1197.0	255-219-219-141	255-219-219-141	255-219-219-141
1198.0	255-219-219-141	255-219-219-141	255-219-219-141
1199.0	255-219-219-141	255-158-218-229	255-219-219-141
